Haralick1,Haralick2,Haralick3,Haralick4,Haralick5,Haralick6,Haralick7,Haralick8,Haralick9,Haralick10,Haralick11,Haralick12,Haralick13,Class
0.000567178,18.67380454,0.995101294,1905.979293,0.289884735,206.0368656,7605.243369,8.373300701,11.41012059,0.000525173,3.183920787,-0.453399241,0.999337488,0
0.001595607,6.652896882,0.997194699,1186.020782,0.447714578,365.4417561,4737.430233,7.964212712,10.12474354,0.000885554,2.502126603,-0.546635753,0.99973723,0
0.000520723,13.92675346,0.997112772,2411.8666,0.314325751,245.0355875,9633.539645,8.553198992,11.38792629,0.000606226,3.031387611,-0.493073071,0.999691089,0
0.000705409,18.24841566,0.992907597,1286.702445,0.294864927,252.2017665,5128.561365,8.04202552,11.07157456,0.000517055,3.200768962,-0.429347984,0.998723709,0
0.000953666,16.63219881,0.995913032,2034.848267,0.357054907,303.5501047,8122.760869,8.311562503,11.0108711,0.000645977,3.060062148,-0.494697941,0.999614818,0
0.000531765,24.4128294,0.994814988,2354.522763,0.26030772,291.5117684,9393.678224,8.344561272,11.59213792,0.000457613,3.383235828,-0.423641811,0.998959672,0
0.001677605,6.682131049,0.996195051,878.3112418,0.419119164,238.2069019,3506.562836,7.726455729,10.02030614,0.00081777,2.538125239,-0.511878058,0.999453771,0
0.000921522,8.541733513,0.998357155,2599.774713,0.446300787,258.0948679,10390.55712,8.430237483,10.76136705,0.000868386,2.590985903,-0.552641365,0.999852803,0
0.004512034,2.789042523,0.999498748,2782.532183,0.535605038,322.3908023,11127.33969,7.089196775,8.799896848,0.001324729,2.01945033,-0.556674425,0.999391533,0
0.001080505,6.218434279,0.998594999,2213.073524,0.450773552,281.6050454,8846.075662,8.316275293,10.49028166,0.000959018,2.427665361,-0.567020987,0.99986573,0
0.001583465,23.03162934,0.997903006,5491.701768,0.383934062,290.8583635,21943.77544,8.373745675,11.01566371,0.000594661,3.208131921,-0.508049322,0.99969993,0
0.002556304,21.17108857,0.993936521,1746.123559,0.44048345,238.8226203,6963.323149,7.722847631,10.27233861,0.000745497,2.911746221,-0.476306841,0.99907241,0
0.000567193,29.30637148,0.990155691,1488.613097,0.25639888,255.1930864,5925.146017,8.133397646,11.45732152,0.000475437,3.478611576,-0.395321399,0.998038094,0
0.00091829,5.698555964,0.999505417,5761.427516,0.484098236,265.2053571,23040.01151,8.873835176,10.86039154,0.000931886,2.378818026,-0.622810473,0.999970389,0
0.00022165,189.484497,0.900239671,949.7410945,0.104640111,119.5222302,3609.479881,7.801106114,12.53158568,0.000182895,4.829132249,-0.170450406,0.949030822,0
0.001775653,7.089157054,0.997779264,1596.436578,0.429588687,294.530576,6378.657153,7.901571902,10.15947655,0.001015144,2.535670237,-0.529218843,0.999640019,0
0.0027218,1.767785867,0.999748215,3510.649305,0.626541587,295.7698293,14040.82944,8.369081902,9.681747819,0.001361359,1.748790145,-0.688279143,0.99997911,0
0.005516267,4.195570533,0.998662286,1568.107887,0.603452587,241.9202889,6268.235976,7.414490902,8.872349868,0.001533552,1.977706518,-0.618761264,0.999808679,0
0.000917971,12.6181493,0.997016025,2114.896544,0.343851747,227.2894517,8446.968026,8.16344498,10.88305364,0.000625473,2.931570783,-0.483663112,0.999482876,0
0.001165402,6.018753889,0.999081516,3276.813517,0.473034876,282.6564134,13101.23532,8.402751839,10.50913178,0.000920457,2.411256493,-0.581410119,0.99990182,0
0.001600558,10.30208679,0.995604269,1172.211451,0.436369771,322.4447592,4678.543719,7.855346814,10.1975141,0.000833513,2.62109059,-0.514191519,0.999526401,0
0.000568664,49.59313022,0.97970663,1221.921817,0.191350403,275.6375242,4838.094138,7.818438241,11.59742665,0.00035862,3.87189127,-0.306697932,0.99199435,0
0.000796387,18.84687483,0.995322148,2014.525778,0.315391964,164.620111,8039.256235,8.325451554,11.25664896,0.000506452,3.224861347,-0.466265583,0.999430368,0
0.000357088,38.97820839,0.995481931,4314.131861,0.258664625,290.7567888,17217.54923,8.735791774,12.06360127,0.000430747,3.571574999,-0.442301847,0.999422925,0
0.000569224,45.82552213,0.971326702,799.207633,0.185892823,219.3063029,3151.00501,7.630403316,11.35378268,0.000369062,3.830654429,-0.294596198,0.989510533,0
0.001402948,6.078704397,0.997770753,1363.556397,0.417001398,271.0914123,5448.146882,7.862176938,10.12690434,0.00097022,2.465723014,-0.525795418,0.999609412,0
0.010744989,1.489754143,0.99723437,269.373558,0.712083004,294.6089117,1076.004478,6.627072001,7.662527947,0.002070645,1.585570031,-0.651807425,0.999669593,0
0.000793575,18.08512346,0.99591512,2214.095645,0.300291592,274.715832,8838.297456,8.192992548,11.16367995,0.000552749,3.163971916,-0.449452918,0.999171707,0
0.000583753,99.98010212,0.962232608,1323.970741,0.231665834,244.5410557,5195.90286,7.81401785,11.72385797,0.000305924,4.276548487,-0.294571371,0.990695298,0
0.000528623,22.63272819,0.997012468,3788.058118,0.327916372,230.9628719,15129.59974,8.695497379,11.68716966,0.000539826,3.240218203,-0.482201177,0.999681816,0
0.000917614,14.68763119,0.988398856,633.0373914,0.309699075,117.7316084,2517.461935,7.585936854,10.49644847,0.000814349,3.051812899,-0.408942661,0.997628072,0
0.000877582,13.58152978,0.998283827,3957.011179,0.434765237,286.2757046,15814.46318,8.678221247,11.06426491,0.000763959,2.802075928,-0.55988716,0.99989729,0
0.001695237,4.401983882,0.998677759,1664.860948,0.563836076,260.6389014,6655.041809,8.196455574,9.988439124,0.001133393,2.143229466,-0.612954996,0.99991395,0
0.001587982,5.269548562,0.99852677,1788.712554,0.500907352,286.3387188,7149.580666,8.196433833,10.19225831,0.000991855,2.331558433,-0.58431012,0.999879287,0
0.002450706,6.65501803,0.998400418,2080.402234,0.519382861,260.6493195,8314.953917,7.879216116,9.778551815,0.001052993,2.350264888,-0.580433146,0.999819759,0
0.001333233,6.912061848,0.998323089,2060.990154,0.492166541,287.9395627,8237.048556,8.252031302,10.31677203,0.001015555,2.361101672,-0.577979654,0.999873513,0
0.001041959,10.98103919,0.998008159,2756.460338,0.444932091,224.8022425,11014.86031,8.328211488,10.63541982,0.000842206,2.594284856,-0.550301556,0.999831588,0
0.000921543,14.19762946,0.997048378,2405.606992,0.427758307,269.0211015,9608.230337,8.420887633,10.88230928,0.000823089,2.720650268,-0.534281789,0.999799748,0
0.000956684,59.84633722,0.982076754,1669.716733,0.284994033,278.6032878,6619.020593,8.098706504,11.41516718,0.00046798,3.814357311,-0.394009514,0.998064357,0
0.00189812,3.781392331,0.999412278,3217.111129,0.591966477,206.3401256,12864.66312,8.361353324,9.997678509,0.001170297,2.071361775,-0.644366658,0.999959893,0
0.003306857,4.675759228,0.998758601,1883.480346,0.558505753,309.5817776,7529.245623,7.884234357,9.605719344,0.001130482,2.21533521,-0.606259824,0.999874736,0
0.001363018,11.75786575,0.996457633,1659.839466,0.445263864,303.373843,6627.599997,8.091602111,10.40298864,0.000894499,2.583606549,-0.533714161,0.999712704,0
0.001245636,3.592056211,0.999365251,2829.53134,0.542819981,170.675832,11314.53331,8.565678016,10.29172771,0.001110544,2.072000037,-0.642050391,0.999967991,0
0.001207276,18.69434128,0.994739875,1777.597313,0.386939327,230.8650847,7091.694909,7.96810249,10.67117829,0.000658014,2.97887951,-0.471225172,0.999234512,0
0.000512807,78.99809947,0.95687077,916.7936093,0.185895907,221.0116496,3588.176338,7.76124897,11.58392888,0.000307312,4.076100817,-0.296331782,0.9903285,0
